Flat-Pot,Flat,Pot,Pop,ID ,No.,Fl_Time,Fl_Node,St_Height,St_Diam,Fl_Length,Fl_Wid,Fl_Height,Brnc_No,Leaf_No,Time_Bud
8-26,8,26,MBR,16,1,3/1/2019,2,4.6,1.5,1.5,1.4,1.4,2,14,2/24/2019
8-27,8,27,MTD,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-28,8,28,FSM,12,2,2/24/2019,1,3.5,1,1.2,1,1.2,0,6,2/20/2019
8-29,8,29,MBR,42,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-30,8,30,SEC,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-31,8,31,MBR,69,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-32,8,32,SMG,36,2,3/1/2019,3,8.2,1.8,1.6,1.5,1.6,5,26,2/23/2019
9-1,9,1,HOV,8,2,3/13/2019,4,11,2.5,1.7,1.6,1.6,5,38,3/8/2019
9-2,9,2,OWC,22,1,3/11/2019,3,11.7,1.3,1.5,1.5,1.5,6,30,3/4/2019
9-3,9,3,HDM,11,2,3/1/2019,1,3.2,1,1.1,1,1,0,4,2/22/2019
9-4,9,4,RRM,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-5,9,5,MTD,71,2,3/8/2019,3,5.4,1.7,1.5,1.4,1.1,2,16,2/27/2019
9-6,9,6,MTD,45,1,3/4/2019,4,14.7,1.9,1.9,1.5,1,6,28,2/24/2019
9-7,9,7,HDM,89,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-8,9,8,BMP,39,2,3/12/2019,4,8.5,2.1,1.6,1.8,1.8,7,44,3/3/2019
9-9,9,9,FIR,37,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-10,9,10,HOV,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-11,9,11,EVS,58,1,3/6/2019,3,11.2,2.2,1.4,1.9,1.5,6,22,2/27/2019
9-12,9,12,SEC,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-13,9,13,HDM,43,1,3/14/2019,5,3.3,2.8,1.4,1.8,1,8,51,3/5/2019
9-14,9,14,BMP,74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-15,9,15,SMG,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-16,9,16,MBR,9,2,3/10/2019,5,7.1,1.6,1.6,1.6,1.7,6,38,3/2/2019
9-17,9,17,MTD,13,2,3/29/2019,5,3.7,0.8,1.6,1.5,1.2,10,96,3/21/2019
9-18,9,18,OWC,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-19,9,19,BMP,58,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-20,9,20,EVS,71,2,3/28/2019,5,7.5,1.9,1.5,1.4,1.6,14,78,3/19/2019
9-21,9,21,SMG,98,2,2/26/2019,2,4.7,1.4,1.3,1.2,1.2,0,10,2/20/2019
9-22,9,22,OWC,15,2,3/3/2019,2,5.3,1.2,1.2,1.2,1,0,11,2/26/2019
9-23,9,23,EVS,29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-24,9,24,MTD,72,2,3/8/2019,3,6.7,2.2,1.8,1.8,1.7,4,22,3/2/2019
9-25,9,25,MTD,6,2,2/28/2019,2,2.1,1.1,1.4,1.8,1.3,4,14,2/23/2019
9-26,9,26,FSM,57,2,2/28/2019,2,3.9,1.3,1.6,1.7,1.6,0,12,2/20/2019
9-27,9,27,SMG,58,2,3/13/2019,3,4.5,1.9,1.1,1,0.9,5,30,3/9/2019
9-28,9,28,MBR,77,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-29,9,29,HOV,62,1,3/1/2019,2,7.5,1.5,1.7,2,1.8,2,16,2/24/2019
9-30,9,30,EVS,42,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-31,9,31,SMG,65,1,3/7/2019,2,3.3,1.3,1.2,1.5,1,2,10,2/27/2019
9-32,9,32,RRM,40,2,3/4/2019,3,6,1.5,1.4,1.2,1.4,6,26,2/25/2019
10-1,10,1,MTD,77,2,3/19/2019,6,5.3,1.6,1.3,1.6,2,7,58,3/10/2019
10-2,10,2,MBR,20,1,3/10/2019,3,10.2,1.8,1.7,1.5,1.4,2,16,3/1/2019
10-3,10,3,MTD,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-4,10,4,FIR,19,2,3/3/2019,3,10.5,2,1.8,1.7,1.7,6,26,2/24/2019
10-5,10,5,SEC,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-6,10,6,EVS,6,2,3/11/2019,3,6.6,1.1,1.5,1.7,1.3,4,16,3/3/2019
